5periodo,4periodo,3periodo,2periodo,1periodo,10periodo
4.0,3.0,2.0,1.0,0,9.0
9.0,7.0,5.0,3.0,1,19.0
14.0,11.0,8.0,5.0,2,29.0
19.0,15.0,11.0,7.0,3,39.0
24.0,19.0,14.0,9.0,4,49.0
29.0,23.0,17.0,11.0,5,59.0
34.0,27.0,20.0,13.0,6,69.0
39.0,31.0,23.0,15.0,7,79.0
44.0,35.0,26.0,17.0,8,89.0
49.0,39.0,29.0,19.0,9,99.0
54.0,43.0,32.0,21.0,10,109.0
59.0,47.0,35.0,23.0,11,119.0
64.0,51.0,38.0,25.0,12,129.0
69.0,55.0,41.0,27.0,13,139.0
74.0,59.0,44.0,29.0,14,149.0
79.0,63.0,47.0,31.0,15,159.0
84.0,67.0,50.0,33.0,16,169.0
89.0,71.0,53.0,35.0,17,179.0
94.0,75.0,56.0,37.0,18,189.0
99.0,79.0,59.0,39.0,19,NaN
104.0,83.0,62.0,41.0,20,NaN
109.0,87.0,65.0,43.0,21,NaN
114.0,91.0,68.0,45.0,22,NaN
119.0,95.0,71.0,47.0,23,NaN
124.0,99.0,74.0,49.0,24,NaN
129.0,103.0,77.0,51.0,25,NaN
134.0,107.0,80.0,53.0,26,NaN
139.0,111.0,83.0,55.0,27,NaN
NaN,115.0,86.0,57.0,28,NaN
NaN,119.0,89.0,59.0,29,NaN
NaN,123.0,92.0,61.0,30,NaN
NaN,127.0,95.0,63.0,31,NaN
NaN,NaN,98.0,65.0,32,NaN
NaN,NaN,101.0,67.0,33,NaN
NaN,NaN,104.0,69.0,34,NaN
NaN,NaN,107.0,71.0,35,NaN
NaN,NaN,110.0,73.0,36,NaN
NaN,NaN,113.0,75.0,37,NaN
NaN,NaN,116.0,77.0,38,NaN
NaN,NaN,119.0,79.0,39,NaN
NaN,NaN,NaN,81.0,40,NaN
NaN,NaN,NaN,83.0,41,NaN
NaN,NaN,NaN,85.0,42,NaN
NaN,NaN,NaN,87.0,43,NaN
NaN,NaN,NaN,89.0,44,NaN
NaN,NaN,NaN,91.0,45,NaN
NaN,NaN,NaN,93.0,46,NaN
NaN,NaN,NaN,95.0,47,NaN
NaN,NaN,NaN,97.0,48,NaN
NaN,NaN,NaN,99.0,49,NaN
NaN,NaN,NaN,101.0,50,NaN
NaN,NaN,NaN,103.0,51,NaN
NaN,NaN,NaN,105.0,52,NaN
NaN,NaN,NaN,107.0,53,NaN
NaN,NaN,NaN,NaN,54,NaN
NaN,NaN,NaN,NaN,55,NaN
NaN,NaN,NaN,NaN,56,NaN
NaN,NaN,NaN,NaN,57,NaN
NaN,NaN,NaN,NaN,58,NaN
NaN,NaN,NaN,NaN,59,NaN
NaN,NaN,NaN,NaN,60,NaN
NaN,NaN,NaN,NaN,61,NaN
NaN,NaN,NaN,NaN,62,NaN
NaN,NaN,NaN,NaN,63,NaN
NaN,NaN,NaN,NaN,64,NaN
NaN,NaN,NaN,NaN,65,NaN
NaN,NaN,NaN,NaN,66,NaN
NaN,NaN,NaN,NaN,67,NaN
NaN,NaN,NaN,NaN,68,NaN
NaN,NaN,NaN,NaN,69,NaN
NaN,NaN,NaN,NaN,70,NaN
NaN,NaN,NaN,NaN,71,NaN
NaN,NaN,NaN,NaN,72,NaN
NaN,NaN,NaN,NaN,73,NaN
NaN,NaN,NaN,NaN,74,NaN
NaN,NaN,NaN,NaN,75,NaN
NaN,NaN,NaN,NaN,76,NaN
NaN,NaN,NaN,NaN,77,NaN
NaN,NaN,NaN,NaN,78,NaN
NaN,NaN,NaN,NaN,79,NaN
NaN,NaN,NaN,NaN,80,NaN
NaN,NaN,NaN,NaN,81,NaN
NaN,NaN,NaN,NaN,82,NaN
NaN,NaN,NaN,NaN,83,NaN
NaN,NaN,NaN,NaN,84,NaN
NaN,NaN,NaN,NaN,85,NaN
NaN,NaN,NaN,NaN,86,NaN
NaN,NaN,NaN,NaN,87,NaN
NaN,NaN,NaN,NaN,88,NaN
NaN,NaN,NaN,NaN,89,NaN
NaN,NaN,NaN,NaN,90,NaN
NaN,NaN,NaN,NaN,91,NaN
NaN,NaN,NaN,NaN,92,NaN
NaN,NaN,NaN,NaN,93,NaN
NaN,NaN,NaN,NaN,94,NaN
NaN,NaN,NaN,NaN,95,NaN
NaN,NaN,NaN,NaN,96,NaN
