3instance,2instance,1instance
0,3.0,0.0
1,4.0,1.0
2,5.0,2.0
3,6.0,3.0
4,7.0,4.0
5,8.0,5.0
6,9.0,6.0
7,10.0,7.0
8,11.0,8.0
9,12.0,9.0
10,13.0,10.0
11,14.0,11.0
12,15.0,12.0
13,16.0,13.0
14,17.0,14.0
15,18.0,15.0
16,19.0,16.0
17,20.0,17.0
18,21.0,18.0
19,22.0,19.0
20,23.0,20.0
21,24.0,21.0
22,25.0,22.0
23,26.0,23.0
24,27.0,24.0
25,28.0,25.0
26,29.0,26.0
27,30.0,27.0
28,31.0,28.0
29,32.0,29.0
30,33.0,30.0
31,34.0,31.0
32,35.0,32.0
33,36.0,33.0
34,37.0,34.0
35,38.0,35.0
36,39.0,36.0
37,40.0,37.0
38,41.0,38.0
39,42.0,39.0
40,43.0,40.0
41,44.0,41.0
42,45.0,42.0
43,46.0,43.0
44,47.0,44.0
45,48.0,45.0
46,49.0,46.0
47,50.0,47.0
48,51.0,48.0
49,52.0,49.0
50,53.0,50.0
51,54.0,51.0
52,55.0,52.0
53,56.0,53.0
54,57.0,54.0
55,58.0,55.0
56,59.0,56.0
57,60.0,57.0
58,61.0,58.0
59,62.0,59.0
60,63.0,60.0
61,64.0,61.0
62,65.0,62.0
63,66.0,63.0
64,67.0,64.0
65,68.0,65.0
66,69.0,66.0
67,70.0,67.0
68,71.0,68.0
69,72.0,69.0
70,73.0,70.0
71,74.0,71.0
72,75.0,72.0
73,76.0,73.0
74,77.0,74.0
75,78.0,75.0
76,79.0,76.0
77,80.0,77.0
78,81.0,78.0
79,82.0,79.0
80,83.0,80.0
81,84.0,81.0
82,85.0,82.0
83,86.0,83.0
84,87.0,84.0
85,88.0,85.0
86,89.0,86.0
87,90.0,87.0
88,91.0,88.0
89,92.0,89.0
90,93.0,90.0
91,94.0,91.0
92,98.0,92.0
93,99.0,93.0
94,103.0,94.0
95,104.0,NaN
96,108.0,NaN
97,109.0,NaN
98,113.0,NaN
99,114.0,NaN
100,115.0,NaN
101,NaN,NaN
102,NaN,NaN
103,NaN,NaN
104,NaN,NaN
105,NaN,NaN
