3instance,2instance,1instance
948,607.0,607.0
39251,255081.0,30516.0
108759,78690.0,81867.0
48268,71254.0,81732.0
11428,75986.0,81733.0
121954,76325.0,81734.0
40831,69563.0,82069.0
607,75988.0,81396.0
174680,72269.0,81730.0
84775,76325.0,81394.0
9062,74296.0,81058.0
121275,74972.0,82744.0
82411,73279.0,83759.0
9062,76325.0,83418.0
125671,71594.0,82410.0
80043,76325.0,82071.0
13118,77001.0,82407.0
122294,76325.0,82745.0
86802,74295.0,81056.0
7372,75648.0,82747.0
116208,76323.0,79363.0
82067,79365.0,81055.0
10752,72270.0,82069.0
128712,78692.0,82071.0
84775,72942.0,82406.0
7710,75311.0,82067.0
119589,72607.0,83085.0
87140,80718.0,81394.0
5343,71250.0,82409.0
128039,77338.0,81732.0
45228,74637.0,81394.0
607,76662.0,81731.0
176030,71252.0,81396.0
89504,79706.0,82403.0
607,74632.0,81053.0
126011,70915.0,82410.0
84436,69564.0,82410.0
9738,75987.0,82071.0
125335,71255.0,80720.0
87137,74634.0,84099.0
5344,69227.0,82403.0
123643,74297.0,82409.0
87141,72264.0,81059.0
10752,81731.0,79705.0
126688,68214.0,80043.0
85451,74634.0,81054.0
8723,75309.0,81732.0
123303,78015.0,83082.0
86127,71929.0,81730.0
6356,74973.0,82410.0
126348,74637.0,81394.0
45566,79030.0,81734.0
607,73281.0,81056.0
177383,76663.0,82749.0
87814,73959.0,80720.0
8386,76998.0,80719.0
129388,71256.0,82071.0
91873,74294.0,82745.0
3992,72947.0,84097.0
125336,74295.0,80041.0
83761,73622.0,82072.0
9062,71254.0,82749.0
125672,68890.0,81732.0
88831,71593.0,80719.0
6358,67874.0,81396.0
122290,71930.0,82069.0
85790,71593.0,81733.0
10413,77001.0,83082.0
125333,72608.0,80721.0
42861,73282.0,81059.0
607,73622.0,82406.0
172313,73956.0,82407.0
83762,69564.0,81733.0
12780,75310.0,83759.0
123979,72946.0,82744.0
83420,73959.0,81057.0
7034,71595.0,79706.0
123979,75648.0,81057.0
40495,72608.0,80378.0
607,78015.0,82409.0
174683,69226.0,80380.0
47255,74633.0,82408.0
607,70577.0,81731.0
170963,75310.0,81733.0
82069,70242.0,70916.0
8386,73959.0,607.0
120940,74297.0,607.0
88494,75306.0,607.0
3316,71593.0,607.0
123307,76664.0,607.0
81732,40496.0,607.0
8385,607.0,607.0
123981,607.0,607.0
87142,607.0,607.0
7372,607.0,607.0
109784,607.0,NaN
607,607.0,NaN
607,607.0,NaN
607,607.0,NaN
607,607.0,NaN
607,607.0,NaN
607,NaN,NaN
607,NaN,NaN
607,NaN,NaN
607,NaN,NaN
607,NaN,NaN
