4node,3node,2node,1node
607,607.0,607.0,607.0
30180,607.0,27155.0,30516.0
1956,107038.0,62917.0,81867.0
145416,607.0,78015.0,81732.0
607,112150.0,107759.0,81733.0
132433,120602.0,77677.0,81734.0
607,18864.0,82406.0,82069.0
107758,82747.0,77678.0,81396.0
607,112490.0,73960.0,81730.0
180423,18522.0,75651.0,81394.0
607,95253.0,51311.0,81058.0
126686,108773.0,78016.0,82744.0
51987,17172.0,51986.0,83759.0
99646,91196.0,69561.0,83418.0
607,119249.0,102013.0,82410.0
132769,14808.0,71932.0,82071.0
607,92882.0,72945.0,82407.0
135810,115191.0,79030.0,82745.0
607,607.0,43537.0,81056.0
146965,98970.0,74972.0,82747.0
607,125331.0,131080.0,79363.0
147643,17510.0,78353.0,81055.0
607,89504.0,27313.0,82069.0
607,110459.0,74972.0,82071.0
212197,17174.0,122291.0,82406.0
92212,96606.0,80719.0,82067.0
16498,114853.0,41848.0,83085.0
607,18864.0,75651.0,81394.0
169608,88494.0,108094.0,82409.0
94239,116210.0,79706.0,81732.0
607,17174.0,51311.0,81394.0
607,89166.0,75989.0,81731.0
186846,133448.0,100659.0,81396.0
88828,607.0,81734.0,82403.0
607,99985.0,41848.0,81053.0
607,118911.0,78015.0,82410.0
196314,607.0,79028.0,82410.0
95251,112828.0,76664.0,82071.0
607,117219.0,143581.0,80720.0
607,17174.0,88491.0,84099.0
180422,95253.0,14132.0,82403.0
92549,113842.0,71589.0,82409.0
13792,18526.0,106407.0,81059.0
124652,92885.0,76664.0,79705.0
36439,115193.0,69561.0,80043.0
87140,14132.0,73959.0,81054.0
7710,91871.0,71932.0,81732.0
144256,123302.0,78688.0,83082.0
607,15145.0,112153.0,81730.0
151357,94575.0,81393.0,82410.0
607,118911.0,44550.0,81394.0
122966,17512.0,78017.0,81734.0
113165,85112.0,91534.0,81056.0
50632,114855.0,79706.0,82749.0
607,18863.0,92884.0,80720.0
98633,88832.0,74636.0,80719.0
85786,118912.0,50634.0,82071.0
95592,607.0,76324.0,82745.0
950,109449.0,132095.0,84097.0
146291,117899.0,79368.0,80041.0
607,17849.0,16836.0,82072.0
140544,85113.0,69229.0,82749.0
607,118576.0,139863.0,81732.0
139866,607.0,85114.0,80719.0
607,109450.0,40495.0,81396.0
141894,121275.0,71594.0,82069.0
607,607.0,127364.0,81733.0
134460,102009.0,78690.0,83082.0
105053,115869.0,75650.0,80721.0
43876,12779.0,78690.0,81059.0
607,99306.0,70241.0,82406.0
130743,119588.0,77003.0,82407.0
108771,17850.0,86124.0,81733.0
43538,87142.0,78692.0,83759.0
607,112489.0,74971.0,82744.0
139190,18864.0,79366.0,81057.0
607,91197.0,60098.0,79706.0
141219,113841.0,75310.0,81057.0
607,607.0,90522.0,80378.0
138853,110122.0,76662.0,82409.0
607,121276.0,22244.0,80380.0
135807,12441.0,67535.0,82408.0
607,94578.0,93221.0,81731.0
140881,114853.0,79366.0,81733.0
100999,607.0,124656.0,70916.0
52325,107081.0,79367.0,607.0
607,112490.0,76324.0,607.0
133102,17850.0,73621.0,607.0
607,97280.0,68552.0,607.0
146961,110122.0,24609.0,607.0
608,19540.0,607.0,607.0
134800,92549.0,607.0,607.0
608,64495.0,607.0,607.0
143246,608.0,607.0,607.0
608,608.0,607.0,607.0
132770,608.0,607.0,NaN
109110,608.0,607.0,NaN
15484,608.0,607.0,NaN
608,608.0,607.0,NaN
608,608.0,608.0,NaN
608,608.0,NaN,NaN
608,608.0,NaN,NaN
608,608.0,NaN,NaN
608,NaN,NaN,NaN
608,NaN,NaN,NaN
608,NaN,NaN,NaN
608,NaN,NaN,NaN
608,NaN,NaN,NaN
