4threads,3threads,2threads,1threads
0,0.0,0.0,0.0
91,87.0,90.0,89.0
237,234.0,241.0,241.0
236,242.0,237.0,240.0
235,237.0,240.0,240.0
236,240.0,236.0,240.0
233,238.0,235.0,241.0
239,240.0,238.0,239.0
231,237.0,235.0,240.0
232,241.0,236.0,239.0
237,238.0,240.0,238.0
237,238.0,245.0,243.0
236,235.0,235.0,246.0
235,238.0,239.0,245.0
240,239.0,236.0,242.0
236,236.0,234.0,241.0
238,236.0,239.0,242.0
236,238.0,244.0,243.0
239,236.0,236.0,238.0
239,235.0,239.0,243.0
240,242.0,239.0,233.0
236,236.0,240.0,238.0
239,235.0,243.0,241.0
239,238.0,236.0,241.0
241,239.0,235.0,242.0
234,239.0,236.0,241.0
243,234.0,235.0,244.0
238,236.0,237.0,239.0
235,237.0,235.0,242.0
238,240.0,238.0,240.0
239,239.0,238.0,239.0
234,240.0,237.0,240.0
238,236.0,238.0,239.0
238,239.0,235.0,242.0
241,240.0,242.0,238.0
238,238.0,233.0,242.0
234,239.0,236.0,242.0
238,237.0,238.0,241.0
234,241.0,242.0,237.0
240,243.0,240.0,247.0
232,241.0,236.0,242.0
224,234.0,237.0,242.0
235,235.0,239.0,238.0
235,242.0,241.0,234.0
235,238.0,233.0,235.0
242,237.0,238.0,238.0
239,238.0,237.0,240.0
232,239.0,239.0,244.0
240,234.0,233.0,240.0
236,246.0,240.0,242.0
236,236.0,237.0,239.0
241,246.0,236.0,240.0
234,236.0,243.0,238.0
240,238.0,234.0,243.0
236,237.0,233.0,237.0
238,237.0,241.0,237.0
239,234.0,235.0,241.0
242,235.0,242.0,243.0
235,236.0,228.0,247.0
236,240.0,237.0,235.0
234,236.0,235.0,241.0
240,236.0,231.0,243.0
239,243.0,237.0,240.0
236,234.0,240.0,237.0
237,242.0,236.0,239.0
241,241.0,236.0,241.0
235,234.0,244.0,240.0
236,233.0,240.0,244.0
234,235.0,236.0,237.0
236,240.0,239.0,238.0
238,236.0,235.0,242.0
236,241.0,235.0,242.0
238,240.0,242.0,240.0
236,241.0,234.0,246.0
237,239.0,240.0,243.0
238,238.0,238.0,238.0
237,236.0,243.0,234.0
239,244.0,238.0,238.0
239,237.0,246.0,236.0
237,243.0,240.0,242.0
236,238.0,236.0,236.0
242,236.0,239.0,242.0
239,235.0,244.0,240.0
236,238.0,236.0,240.0
237,234.0,238.0,208.0
237,158.0,175.0,0.0
3,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,NaN
0,NaN,NaN,NaN
